,collectionId,collectionName,totalNFTs
2410313,1734,Alpha Traders Country Club,720
2411033,1733,Meta Maid Genesis,777
2411810,1731,Los Muertos World,10000
2421810,1729,AGE of SAM,4427
2426237,1730,Blitzed Bucks Hunting Club,865
2427102,1644,Regulars,10000
2437102,1725,BBRC - IVY BOYS,7777
2442513,1725,BBRC -IVY BOYS,7777
2444879,1699,JustCubesNFT,4444
2449323,1724,Blvck Genesis,9998
2459321,1723,Iconic Miss Crypto Clinic,9972
2469293,1721,Pepeverse,1337
2470630,1719,The Humanians,5797
2476427,1718,CPG Pop,2777
2479204,1717,The Randoms,8888
2488092,1801,Shinsekaicorp,10000
2498092,1716,Secret Sesh,1154
2499246,1714,Time Out By Acide,777
2500023,1713,Meta Ape Militia,9984
2510007,1709,High Sloth Society,2000
2512007,1712,Sugar Skullz,8000
2520007,1711,Lost Eden Origins,979
2520986,1666,GrumpyPandaz,4200
2525186,1708,PharaGods,2003
2527189,1704,Brava,320
2527509,1706,Monkey Legends,6545
2534054,1675,EightBit,8888
2542942,1707,Royal Panther Empire,1704
2544646,1703,VOLTZ Avatars,3021
2547667,1701,FernDaddy,5000
2552667,1702,Imaginary Ones,8888
2561555,1698,Alimatok,4444
2565999,1696,Droid Invaders,7499
2573498,1695,Ape Invaders Genesis,5500
2578998,1697,YOOMOOTA Universe,3084
2582082,1593,Chain Runners,10000
2592082,1634,Akutars,15000
2607082,1694,Okay Bears,10000
2617082,1693,Lil Baby Ape Club,5000
2622082,1692,L.O Community,11110
2633192,1691,Kumaverse Genesis,1999
2635191,1683,Oddstronauts,10000
2645191,1682,BEANS PETS GEN 1,4200
2649391,1686,The Space Resistance,1001
2650392,1689,Tripsters,5555
2655947,1690,BEANZ,19950
2675897,1688,Cool Pigz,771
2676668,1687,Silks Genesis Avatar,7133
2683801,1685,VeeFriends Series 2,50798
2700080,1685,VeeFriends Series2,50798
2734599,1684,APIENS,4229
2738828,1678,Birdez Kingdom,5000
2743828,1681,the lil frens,2222
2746050,1679,Molly Secret Collection,888
2746938,1677,The Red Pill Lions,602
2747540,1676,Murakami.Flowers,9781
2757321,1674,CryptoSpacePunks,6461
2763782,1664,Umiverse,1000
2764782,1670,Monster Suit,5000
2769782,1673,Kitbash Boogers,1110
2770892,1672,Toy Boogers,3333
2774225,1671,Crecodiles,8888
2783113,1667,TRONS X,7239
2790352,1665,Ugly People,10000
2800352,1661,GAWDS,5882
2806234,1668,Easy Demons,6666
2812900,1669,OneOnes,6565
2819465,1660,The Squishiverse,8888
2828353,1662,Cats and Watches Society,9588
2837941,1655,ETHX AI,2222
2840163,1659,TinyFaces,4000
2844163,1657,CHIGUIRELAND,3993
2848156,1658,Otherdeed for Otherside,97589
2945745,1656,Tomodachi Friends,976
2946721,1638,9Tales GENESIS,515
2947236,1654,Gorilla Mafia,856
2948092,1641,Baby Doge Army,10000
2958092,1646,Tiny Colony Characters,5682
2963774,1647,X-Moose,1110
2964884,1643,E-Shell,7641
2972525,1637,The Humanoids,10000
2982525,1554,Meta Panther Club,1151
2983676,1640,Komorebi No Sekai,1847
2985523,1384,Smol Boyz,765
2986288,1636,You by BFF,10000
2996288,1635,Prime Mates Board Club,674
2996962,1546,The LFC Heroes Club,9744
3006706,1626,Wired Beast,2886
3009592,1631,Tough Lions,1111
3010703,1629,The Assembly: Mayans,1000
3011703,1632,Praise Pals,2222
3013925,1633,Toons,4447
3018372,1630,TrapMonkie,8888
3027260,1610,CyberRonin Haruka,5555
3032815,1628,Bored Bones Genesis,500
3033315,1097,MunchiesNFT,4997
3038312,1627,The Loomi Heads,5555
3043867,1624,Apes Together Strong,4444
3048311,1612,Kevin The Monkey,3222
3051533,1625,Whiskers,5555
3057088,1619,Manga Society,6001
3063089,1623,The Weirdos: Battle Royale,9271
3072360,1622,Wilder Beasts,3333
3075693,1621,Nyokies,2732
3078425,1618,88 Dynasty,2704
3081129,1620,Avius Animae,10000
3083855,1620,AviusAnimae,10000
3091129,1616,M.U.G.S,10000
3101129,1615,Chippys World,2500
3103629,1617,The Sevens Eve,10777
3114406,1614,Dennis Rodman's Barbershop,5000
3119406,1611,Trippy Frens,1000
3120406,1609,Zombie Apes,6667
3127073,1608,Filthy Rich Crypto Kids,1700
3128773,1597,Particlon,1071
3129844,1603,Space Boo,8888
3138732,1606,Singularity 0 Universe ANTHRO,3333
3142065,1607,Wobbles,2222
3144287,1600,Gunslingers,7777
3152064,1605,Planetary Property Association: Dealers,10000
3162064,1602,Bao Society,3888
3165952,1604,MetaPlaces,202
3166154,1601,Puli Runners,842
3166996,1599,Wackies,479
3167475,1595,Dojo Fish ,1000
3168475,1598,G.I. Toadz,6956
3175431,1596,No No's,8500
3183931,1594, Juicy Fruits,776
3184707,1590,Diamond Heist,5100
3189807,1582,Bushido Society,2222
3192029,1539,MetaPiggyBanks,446
3192475,1591,Ibis Chess Club,3141
3195616,1589,BZUKI,3333
3198949,1588,Toxic Skulls Club,9999
3208948,1587,Moonbirds,10000
3218948,1586,Unemployables,5000
3223948,1585,ApeToTheMoon,1800
3225748,1584,Mutant Alien Ape,7723
3233471,1583,Zombie NFT,3000
3236471,1577,KPOP CTzen,8887
3245358,1581,Shinsei Galverse,8882
3254240,1580,Meta Hooligans,3028
3257268,1399,ToonSquad,10000
3267268,1579,Unusual Guests,2141
3269409,1562,Permies,555
3269964,1575,The Lobstars,7777
3277741,1574,Mutant Shiba Club,10000
3287741,1573,Metakages,3000
3290741,1565,Katana Inu Takeru,999
3291740,1570,Private Jet Pyjama Party First Ladies,3333
3295073,1504,Ninja Fantasy Trader,2667
3297740,1569,BullsOnTheBlock Evo,6275
3304015,1572,MegaKongs,6000
3310015,1571,HAKI,5000
3315015,1152,More Than Gamers,10100
3325115,1542,Pieland,8092
3333207,1529,MineNations: Champions,3888
3337095,1507,The Jungle Tribe Genesis,699
3337794,1568,Snuggle Buddies Genesis,500
3338294,1560,AlphaSkullz Genesis Force,3334
3341628,1566,Forest Spirits,8888
3343159,1566,ForestSpirits,8888
3350516,1541,illogics,8888
3359404,1564,Club de Beaute,438
3359842,1563,CryptoBurbs II,5555
3365397,1561,Twisted Bears,2225
3367622,1555,KREEPY CLUB,9999
3371250,1555,KREEPYCLUB,9999
3377621,1559,Gummies Gang,6969
3384590,1558,Kureiji,5555
3390145,1522,Bad Cubs,3899
3394044,1557,Impostors Genesis Aliens,10420
3404464,1556,Oozoids,3888
3408352,1552,Droplets,6500
3414852,1551,Kraken Secret Society,5000
3419852,1549,Bionic Apes,5555
3425407,1548,MOLLY,4444
3429851,1547,OKOKU,3333
3433184,1518,ZombyWorld,999
3434183,1545,Money Minded Apes,1703
3435886,1544,ZenCats Ground-Zero,556
3436442,1543,Sprite Club,7777
3444219,1538,Torque Squad,8888
3453107,1535,Animalia Titans,2172
3455279,1537,Chum Chums,5700
3460979,1525,CHFTY Pizzas,2777
3463756,1532,FVCK_AVATAR//,10561
3474317,1536,Private Jet Pyjama Party,5267
3479584,1534,Jidori,3950
3483534,1524,Flunks,9999
3493533,1533,The Space Warriors Club,7777
3501310,1246,Dogs of Elon,9997
3511307,1531,Yellownauts,2026
3513333,1341,Loser Club,10000
3523333,1450,THE MOTTY,1114
3524447,1530,The Psychonaut Ape Division,7777
3532224,1528,Gold Yoseo Pawn Shop,256
3532480,1521,Roborovski,7777
3540257,1526,Quirkies,5000
3545257,1523,RenderPunks,997
3546254,1517,Ape Society,455
3546709,1354,Pirates of the Metaverse,10000
3556709,1519,Soulbond - Ren Empire,10000
3566709,1520,Loot (for Adventurers),7739
3574448,1510,Trees With Faces,1311
3575759,1490,ZombieClub Token,5266
3581025,1516,Mad Mouse Circus Troupe,4970
3585995,1513,Mad Mouse Circus Genesis,555
3586550,1515,Tennis Champs Genesis,3332
3589882,1514,AdRunner,809
3590691,1463,Look Labs 420 Buds,17589
3608280,1511,BueTheWarrior,113
3608393,1512,Dreadfulz,7777
3616170,1210,Square Bears,1161
3617331,1505,EPICBEAST,8591
3625922,1509,Abnormal Jean,8888
3634810,1508,Tribe Quokka Genesis,8000
3642810,1502,Gutter Clones,3593
3646403,1503,Neo Tokyo Punks,2222
3648625,1501,KaijuFrenz: Genesis,6666
3655291,1500,Gator Gang,7209
3662500,1494,Voxel Chimps Club,127
3662627,1462,World of Women Galaxy,20609
3683236,1496,STONED PIXEL HUMAN V2,410
3683646,1498,Kiwami,10000
3693646,1497,Drug Receipts,10000
3703646,1485,Troverse Planets,10000
3713646,1493,Zinu's Zombie Mob Secret Society,10000
3723646,1495,Stoned Puppies,99
3723745,1484,Gooeys,2185
3725930,1492,MetaMansions,4444
3730374,1491,Fishman's Laboratory,1648
3732022,1479,The Battle Bunnies - Genesis 300,300
3732322,1489,MetaKongz,10000
3742322,1486,Peacefall,8192
3750514,1471,CaliPlug,1300
3751814,1488,Laid Back Llamas,7000
3758814,1487,Cryptid Clan: Sasquatch,531
3759345,1481,Cronos Primate Business,6100
3765445,1474,JPunks: OG-Rex,7777
3773222,1483,Silly Sushi,1401
3774623,1482,WAGMI WORLD,800
3775423,1480,Dank Ducks,6972
3782395,1476,ETHTerrestrials,4269
3786664,1478,Gaming Ape Club,6550
3793214,1475,Chummy Fin Club,2500
3795714,1473,Meta Triads,2347
3798061,1472,Bad Alien Social Club,3666
3801727,1470,STREETHERS,799
3802526,1469,Murder Head Death Club,6666
3806019,1469,Murder Head DeathClub,6666
3809192,1465,EXPAT 8-BIT SUPPORT,3333
3812525,1468,Lucky Ducky,7777
3820302,1467,Mutant Pastel Club,1308
3821610,1466,CyberBoyz:3000,3000
3824610,1392,Tiny Colony Pets,11547
3836157,1464,Wandernauts,8888
3845045,1459,Capybaras Country Club,2736
3847781,1457,The Mekabots,6626
3854407,1455,Graffiti Bear Collective,1011
3855418,1458,Trippy Toadz,6969
